Entity,avg_annual_production,total_production,growth_rate,Cluster
Indonesia,5178856.75409836,315910262,4.594546643562225,0
Malaysia,1036866.0655737704,63248830,3.920564834922957,1
Thailand,3064666.0327868853,186944628,3.511150375146932,0
Vietnam,2393018.0327868853,145974100,4.795732587631729,0
Philippines,2037514.9180327868,124288410,2.9873906274932915,1
Brunei,2438.1632653061224,119470,2.0555366279076948,1
Cambodia,277415.24590163934,16922330,5.245688729900744,1
Laos,272906.5737704918,16647301,4.65420301604984,1
Myanmar,1318114.0983606558,80404960,3.6154635526249645,1
